RUTU	year	Nsegment	NWD	time	AT	windS	TS	FEDR	nGulls	tending	nOM	nOtherP	dog	raptor	plane	activities	day	NWD	Bulk	Dune	Phrag	Marsh	Creek	Woodland	FT	LT	RT	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC8
0	2016	37	1	0.12867449859872845	0.9961499418383417	0.14168448668035988	-0.13667712288162992	0.04341605777873379	-0.22715855192757198	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	38	1	0.1270000962769289	0.9961499418383417	0.14168448668035988	-0.13667712288162992	0.04341605777873379	-0.16598645747970722	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	39	1	0.12030248698973063	0.9961499418383417	0.14168448668035988	-0.13667712288162992	0.04341605777873379	-0.16598645747970722	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	40	1	0.12030248698973063	0.9961499418383417	0.14168448668035988	-0.13667712288162992	0.04341605777873379	-0.16598645747970722	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	41	1	0.11862808466793107	0.9961499418383417	0.14168448668035988	-0.06577266577660117	0.04341605777873379	-0.10481436303184247	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	42	1	0.1169536823461315	0.9961499418383417	0.14168448668035988	-0.06577266577660117	0.04341605777873379	-0.0844236648825542	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	43	1	0.11527928002433194	1.105578820853222	-0.2886590653302809	-0.06577266577660117	0.04341605777873379	0.0787019203117518	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	44	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	45	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	46	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
